lon,lat,alt,orden
-107.5420773,24.6773796,20,0
-107.5414730,24.6773335,20,1
-107.5417614,24.6771432,20,2
-107.5417649,24.6769552,20,3
-107.5421494,24.6769852,20,4
-107.5419891,24.6771839,20,5
-107.5420773,24.6773796,20,6
